locus_tag,gene,mRNA_level
BSU00010,dnaA,2.61
BSU00020,dnaN,5.1
BSU00030,yaaA,2.24
BSU00040,recF,8.12
BSU00050,yaaB,7.29
BSU00060,gyrB,10.42
BSU00070,gyrA,9.18
BSU00090,guaB,16.2
BSU00100,dacA,4.3
BSU00110,yaaD,11.94
BSU00120,yaaE,20.23
BSU00130,serS,22.29
BSU00140,dck,5.27
BSU00150,dgk,3.41
BSU00180,tadA,0.41
BSU00190,dnaX,1.75
BSU00200,yaaK,5.44
BSU00210,recR,2.81
BSU00220,yaaL,4.2
BSU00230,bofA,0.76
BSU00250,xpaC,4.21
BSU00260,yaaN,5.26
BSU00270,yaaO,2.81
BSU00280,tmk,3.67
BSU00290,yaaQ,8.23
BSU00300,yaaR,7.37
BSU00310,holB,6.82
BSU00320,yaaT,10.51
BSU00330,yabA,13.51
BSU00340,yabB,1.69
BSU00350,yazA,1.84
BSU00360,yabC,2.01
BSU00370,abrB,51.41
BSU00380,metS,5.78
BSU00390,yabD,1.66
BSU00400,yabE,2.06
BSU00420,ksgA,1.33
BSU00440,veg,169.77
BSU00450,sspF,2.41
BSU00460,ipk,1.14
BSU00470,purR,7.31
BSU00480,yabJ,15.43
BSU00490,spoVG,78.28
BSU00500,glmU,4.18
BSU00510,prs,12.64
BSU00520,ctc,126.84
BSU00530,pth,8.7
BSU00540,yabK,9.45
BSU00550,mfd,4.44
BSU00560,spoVT,6.65
BSU00570,yabM,0.57
BSU00580,yabN,2.63
BSU00590,yabO,5.77
BSU00600,yabP,8.29
BSU00610,yabQ,6.33
BSU00620,divIC,12.91
BSU00630,yabR,14.52
BSU00650,yabS,0.52
BSU00670,tilS,3.17
BSU00680,hprT,7.27
BSU00690,ftsH,42.17
BSU00700,coaX,2.75
BSU00710,hslO,8.08
BSU00720,yacD,1.56
BSU00730,cysK,10.59
BSU00740,pabB,1.48
BSU00750,pabA,4.45
BSU00760,pabC,2.51
BSU00770,sul,4.07
BSU00780,folB,5.71
BSU00790,folK,5.7
BSU00800,yazB,7.19
BSU00810,dusB,6.66
BSU00820,lysS,9.96
BSU00830,ctsR,8.58
BSU00840,mcsA,10.56
BSU00850,mcsB,13.58
BSU00860,clpC,34.22
BSU00870,radA,3.63
BSU00880,yacK,3.97
BSU00890,yacL,6.48
BSU00900,ispD,7.83
BSU00910,ispF,2.39
BSU00920,gltX,12.96
BSU00930,cysE,2.21
BSU00940,cysS,4.42
BSU00950,mrnC,5.15
BSU00960,rlmB,4.98
BSU00970,yacP,4.71
BSU00980,sigH,6.54
BSU00990,rpmG,20.4
BSU01000,secE,20.15
BSU01010,nusG,2.62
BSU01020,rplK,219.37
BSU01030,rplA,104.26
BSU01040,rplJ,384.16
BSU01050,rplL,539.33
BSU01060,ybxB,4.16
BSU01070,rpoB,29.11
BSU01080,rpoC,62.8
BSU01090,ybxF,108.35
BSU01100,rpsL,125.2
BSU01110,rpsG,159.22
BSU01120,fusA,224.29
BSU01130,tufA,675.14
BSU01140,ybaC,0.57
BSU01150,rpsJ,138.59
BSU01160,rplC,144.86
BSU01170,rplD,194.93
BSU01180,rplW,258.54
BSU01190,rplB,271.19
BSU01200,rpsS,287.69
BSU01210,rplV,267.56
BSU01220,rpsC,243.14
BSU01230,rplP,261.82
BSU01240,rpmC,350.42
BSU01250,rpsQ,356.79
BSU01260,rplN,320.33
BSU01270,rplX,322.5
BSU01280,rplE,288
BSU01290,rpsN,339.16
BSU01300,rpsH,286.03
BSU01310,rplF,261.44
BSU01320,rplR,283.48
BSU01330,rpsE,262.01
BSU01340,rpmD,361.58
BSU01350,rplO,343.17
BSU01360,secY,252.47
BSU01370,adk,228.95
BSU01380,mapA,201
BSU01389,ybzG,258.85
BSU01390,infA,261.3
BSU01400,rpmJ,390.06
BSU01410,rpsM,224.78
BSU01420,rpsK,253.65
BSU01430,rpoA,225.67
BSU01440,rplQ,231.02
BSU01450,cbiO,10.26
BSU01460,cbiO,10.69
BSU01470,ybaF,9.39
BSU01480,truA,11.99
BSU01490,rplM,67.24
BSU01500,rpsI,88.71
BSU01510,ybaJ,2.95
BSU01540,salA,44.45
BSU01550,gerD,1.92
BSU01560,kbaA,1.33
BSU01570,ybaN,0.92
BSU01580,ybaR,1.02
BSU01590,ybaS,1.38
BSU01600,ybbA,3.64
BSU01610,feuC,5.63
BSU01620,feuB,8.13
BSU01630,feuA,17.88
BSU01640,ybbB,1.51
BSU01700,murQ,1.07
BSU01730,sigW,35.17
BSU01740,rsiW,35.97
BSU01750,ybbP,2.72
BSU01760,ybbR,3.93
BSU01770,glmM,9.66
BSU01780,glmS,22.19
BSU01910,skfA,2.65
BSU02019,ybzI,7.83
BSU02060,ybxG,1.7
BSU02100,cypC,0.95
BSU02110,ybyB,16.62
BSU02120,ybeC,11.38
BSU02130,glpQ,30.7
BSU02140,glpT,20.51
BSU02180,ybfE,1.39
BSU02190,ybfF,1.43
BSU02200,ybfG,2.45
BSU02230,purT,3.48
BSU02260,ybfK,1.41
BSU02270,pssA,5.6
BSU02280,ybfM,6.59
BSU02290,psd,6.25
BSU02300,ybfN,1.3
BSU02310,ybfO,1.57
BSU02330,ybfQ,7.32
BSU02350,nagP,4.48
BSU02360,nagBB,5.9
BSU02380,ybgB,1.22
BSU02500,ycbG,0.97
BSU02520,ycbJ,1.47
BSU02530,rtpA,0.69
BSU02590,ycbP,2.29
BSU02670,lmrB,0.48
BSU02720,yccF,2.58
BSU02770,yccK,1.24
BSU02820,rapJ,1.31
BSU02830,ycdF,0.76
BSU02840,ycdG,1.06
BSU02850,adcA,0.32
BSU02890,yceC,48.41
BSU02900,yceD,47.63
BSU02910,yceE,49.89
BSU02920,yceF,53.25
BSU02930,yceG,8.27
BSU02940,yceH,8.56
BSU02950,yceI,1.01
BSU02980,opuAA,1.7
BSU02990,opuAB,3.58
BSU03000,opuAC,5.49
BSU03040,amyE,2.16
BSU03050,ldh,458.71
BSU03060,lctP,243.59
BSU03070,mdr,1.13
BSU03130,nadE,21.95
BSU03150,aroK,1.84
BSU03220,ycgO,1.35
BSU03240,ycgQ,2.33
BSU03270,ycgT,3.36
BSU03280,nasF,5.27
BSU03290,nasE,3.33
BSU03300,nasD,1.28
BSU03370,yckA,3.97
BSU03380,yckB,2.41
BSU03420,nin,5.97
BSU03430,nucA,4.88
BSU03450,hxlB,1.24
BSU03460,hxlA,1.24
BSU03480,srfAA,24.15
BSU03490,srfAB,35.01
BSU03500,comS,56.24
BSU03510,srfAC,32.05
BSU03520,srfAD,38.01
BSU03580,yczE,0.86
BSU03590,tcyC,5.94
BSU03600,tcyB,5.56
BSU03610,tcyA,12.76
BSU03670,dtpT,3.28
BSU03760,yclK,1.33
BSU03770,rapC,3.99
BSU03780,phrC,22.37
BSU03789,yczN,38.52
BSU03800,yclN,8.79
BSU03810,yclO,11.45
BSU03820,yclP,16.04
BSU03830,yclQ,24.9
BSU03840,ycnB,0.94
BSU03850,ycnC,0.52
BSU03860,ycnD,4.44
BSU03870,ycnE,4.5
BSU03880,yczG,2.14
BSU03910,gabD,4.57
BSU03940,ycnI,2.77
BSU03950,ycnJ,1.48
BSU03960,ycnK,1
BSU03970,ycnL,1.23
BSU03981,mtlA,16.34
BSU03982,mtlF,20.95
BSU03990,mtlD,17.9
BSU04000,ycsA,7.77
BSU04010,sipU,3.27
BSU04020,yczH,2.61
BSU04030,ycsD,2.8
BSU04039,yczO,1.39
BSU04040,ycsE,3.05
BSU04050,ycsF,1.07
BSU04060,ycsG,0.88
BSU04070,ycsI,1.1
BSU04080,kipI,1.15
BSU04090,kipA,1.02
BSU04100,kipR,1.14
BSU04110,lipC,0.46
BSU04120,yczI,3.9
BSU04130,yczJ,1.54
BSU04140,pbpC,6.3
BSU04150,ycsN,11.42
BSU04160,mtlR,2.83
BSU04190,ydaD,0.66
BSU04200,ydaE,1.06
BSU04220,ydaG,12.91
BSU04240,ydzA,4.5
BSU04260,topB,2.98
BSU04270,ydaJ,0.43
BSU04320,ydaO,1.55
BSU04340,ydaP,1.79
BSU04359,ydzK,7.07
BSU04360,mntH,27.83
BSU04370,ydaS,4.43
BSU04400,gsiB,5.31
BSU04430,ydbD,1.34
BSU04440,dctB,0.98
BSU04470,dctP,5.73
BSU04480,ydbI,3.06
BSU04490,ydbJ,2.44
BSU04500,ydbK,3.68
BSU04510,ydbL,14.39
BSU04520,ydbM,1.94
BSU04530,ydbN,23.88
BSU04540,ydbO,5.51
BSU04550,ydbP,50.03
BSU04560,ddl,11.5
BSU04570,murF,4.39
BSU04580,cshA,17.71
BSU04590,ydbS,16.61
BSU04600,ydbT,13.61
BSU04610,ydcA,1.61
BSU04620,acpS,1.86
BSU04630,ydcC,1.46
BSU04640,alrA,4.09
BSU04650,endB,29.97
BSU04660,ndoA,32.61
BSU04670,rsbRA,3.37
BSU04680,rsbS,5.24
BSU04690,rsbT,5.24
BSU04700,rsbU,6.31
BSU04710,rsbV,34.31
BSU04720,rsbW,42.94
BSU04730,sigB,35.74
BSU04740,rsbX,25.62
BSU04780,ydcI,2.44
BSU04790,ydcK,0.54
BSU05000,yddK,5.25
BSU05020,phrI,1.55
BSU05070,yddQ,1
BSU05099,ydzM,1.03
BSU05120,cspC,117.01
BSU05130,ydeB,0.81
BSU05260,ydeN,1.14
BSU05270,ydzF,1.24
BSU05280,ydeO,2.19
BSU05320,ydeS,1.1
BSU05329,ydzO,1.57
BSU05340,ydfA,0.75
BSU05400,ydfG,7.4
BSU05440,nap,2.27
BSU05529,ydzR,1.4
BSU05580,ydgC,3.1
BSU05590,ydgD,2.8
BSU05600,ydgE,1.27
BSU05620,ydgF,2.75
BSU05630,dinB,1.25
BSU05660,ydgI,1.8
BSU05670,ydgJ,1.4
BSU05680,ydgK,0.89
BSU05700,ydhC,1.52
BSU05720,ydhE,2.06
BSU05750,ydhG,3.41
BSU05790,ydhK,2.33
BSU05800,pbuE,3.78
BSU05810,gmuB,2.51
BSU05820,gmuA,3.54
BSU05830,gmuC,2.41
BSU05840,gmuD,2.51
BSU05850,gmuR,3.21
BSU05860,gmuE,2.8
BSU05870,gmuF,2.83
BSU05880,gmuG,3.6
BSU05900,thiL,0.92
BSU05910,ydiB,1.37
BSU05920,ydiC,1.72
BSU05930,rimI,2.32
BSU05940,gcp,2.49
BSU05950,ydiF,2
BSU05960,moaC,2.49
BSU05970,ydiH,4.72
BSU05980,tatAY,15.64
BSU05990,tatCY,9.88
BSU06000,ydiK,4.17
BSU06010,ydiL,3.52
BSU06020,groES,300.72
BSU06030,groEL,267.5
BSU06040,ydiM,1.09
BSU06060,ydiO,2.46
BSU06070,ydiP,6.41
BSU06090,ydiR,3.76
BSU06100,ydiS,6.36
BSU06110,ydjA,6.36
BSU06170,ydjE,5.57
BSU06180,pspA,5.85
BSU06190,ydjG,5.74
BSU06200,ydjH,5.32
BSU06210,ydjI,6.68
BSU06240,bdhA,43.68
BSU06250,ydjM,1.12
BSU06270,ydjO,13.32
BSU06280,ydjP,7.62
BSU06290,yeaA,7.39
BSU06340,yeaD,0.98
BSU06350,yebA,1.49
BSU06360,guaA,9.93
BSU06370,pbuG,2.6
BSU06380,yebC,1.43
BSU06390,yebD,1.12
BSU06400,yebE,1.46
BSU06410,yebG,2.62
BSU06420,purE,1.26
BSU06430,purK,1.64
BSU06440,purB,3.31
BSU06450,purC,1.79
BSU06460,purS,2.34
BSU06470,purQ,1.72
BSU06480,purL,1.33
BSU06490,purF,1.56
BSU06510,purN,1.1
BSU06560,yerA,2.9
BSU06570,yerB,10.1
BSU06580,yerC,13.73
BSU06590,yerD,0.69
BSU06610,pcrA,2.01
BSU06620,ligA,4.05
BSU06630,yerH,7.7
BSU06640,yerI,3.16
BSU06660,opuE,1.86
BSU06670,gatC,9.19
BSU06680,gatA,15.1
BSU06690,gatB,29.98
BSU06710,swrC,5.55
BSU06720,yerQ,3.84
BSU06730,yefA,1.29
BSU06770,yeeB,1.42
BSU06780,yeeC,1.35
BSU06790,yeeD,0.93
BSU06800,yezA,1.26
BSU06811,yezG,1.49
BSU06840,yeeI,7.8
BSU06860,yezE,2.92
BSU06920,yesJ,2.93
BSU06930,yesK,0.25
BSU07150,yetG,25.79
BSU07160,yetH,2.4
BSU07200,yetJ,8.64
BSU07210,yetK,1.08
BSU07260,ltaSA,11.98
BSU07320,yfnC,1.44
BSU07350,yfmT,4.21
BSU07360,yfmS,4.92
BSU07370,yfmR,2.47
BSU07380,yfmQ,21.76
BSU07390,yfmP,0.71
BSU07420,yfmM,1.31
BSU07430,yfmL,0.9
BSU07450,yfmJ,5.27
BSU07490,yfmF,4.79
BSU07500,yfmE,1.91
BSU07510,yfmD,1.12
BSU07520,yfmC,18.84
BSU07550,yflT,5.42
BSU07560,pel,13.61
BSU07640,yflL,0.95
BSU07650,yflK,1.07
BSU07660,yflJ,2.56
BSU07670,yflI,3.15
BSU07680,yflH,7.28
BSU07690,yflG,5.08
BSU07700,nagP,5.29
BSU07710,yflE,9.36
BSU07750,yflA,0.61
BSU07760,yfkT,0.57
BSU07770,yfkS,0.35
BSU07800,treP,23.61
BSU07810,treA,20.13
BSU07820,treR,33.93
BSU07830,yfkO,10.43
BSU07850,yfkM,7.36
BSU07870,yfkK,1.29
BSU07880,yfkJ,3.22
BSU07890,yfkI,4.85
BSU07900,yfkH,3.79
BSU07920,yfkE,1.56
BSU07930,yfkD,1.66
BSU07940,yfkC,3.48
BSU07955,yfkA,1.38
BSU08000,yfjQ,1.07
BSU08020,yfjO,1.94
BSU08030,dusC,0.71
BSU08120,yfjF,0.96
BSU08180,malA,1.15
BSU08220,yfiC,2.41
BSU08340,padR,1.03
BSU08350,estB,1.33
BSU08390,yfiT,2.72
BSU08425,mprF,2.11
BSU08440,yfiY,17.12
BSU08450,yfiZ,3.18
BSU08460,yfhA,4.95
BSU08470,yfhB,1.21
BSU08480,yfhC,27.2
BSU08490,yfhD,1.55
BSU08500,yfhE,1.36
BSU08510,yfhF,0.84
BSU08520,recX,1.22
BSU08530,yfhH,2.14
BSU08560,yfhJ,2.08
BSU08570,yfhK,4
BSU08580,yfhL,8.55
BSU08590,yfhM,4.34
BSU08600,csbB,10.81
BSU08610,yfhO,4.72
BSU08620,yfhP,1.24
BSU08630,yfhQ,2.29
BSU08640,yfhS,5.95
BSU08650,fabL,6.15
BSU08660,sspE,12.27
BSU08680,ygaC,3.68
BSU08690,ygaD,1.6
BSU08700,ygaE,1.12
BSU08710,gsaB,5.15
BSU08720,ygaF,1.46
BSU08730,perR,22.23
BSU08740,ygzB,2.67
BSU08750,ygxA,3.61
BSU08760,spo0M,37.75
BSU08820,katA,4.88
BSU08890,ygaO,0.95
BSU08899,ygzD,1.11
BSU08900,yhzB,0.87
