locus_tag,gene,mRNA_level
b0001,thrL,3032.01
b0002,thrA,5084.28
b0003,thrB,3226.2
b0004,thrC,3510.38
b0005,yaaX,400.518
b0006,yaaA,466.18
b0007,yaaJ,349.426
b0008,talB,4525.7
b0009,mog,643.246
b0010,yaaH,478.109
b0012,htgA,13.336
b0011,yaaW,253.938
b0013,yaaI,204.966
b0014,dnaK,3887.79
b0015,dnaJ,2436.43
b0017,yi82_1,457.019
b0016,yi81_1,926.339
b4412,hokC,N.D.
b0018,mokC,144.866
b0019,nhaA,892.993
b0020,nhaR,602.838
b0021,insB_1,N.D.
b0022,insA_1,453.985
b0023,rpsT,3857.3
b0024,yaaY,60.2018
b0025,ribF,2286.7
b0026,ileS,2306.29
b0027,lspA,1461.89
b0028,fkpB,1364.19
b0029,ispH,948.926
b0030,rihC,563.988
b0031,dapB,2280.43
b0032,carA,3761.72
b0033,carB,3701.77
b0034,caiF,643.68
b0035,caiE,89.8207
b0036,caiD,1209.44
b0037,caiC,335.796
b0038,caiB,557.848
b0039,caiA,630.109
b0040,caiT,82.8884
b0041,fixA,667.671
b0042,fixB,560.368
b0043,fixC,232.9
b0044,fixX,239.437
b0045,yaaU,2314.77
b0046,yabF,345.191
b0047,kefC,458.819
b0048,folA,903.541
b0049,apaH,1356.05
b0050,apaG,1356.25
b0051,ksgA,1284.72
b0052,pdxA,1421.16
b0053,surA,2666.28
b0054,imp,1931.74
b0055,djlA,1346.56
b0056,yabP,869.942
b0057,yabQ,1430.55
b0058,rluA,438.432
b0059,hepA,869.084
b0060,polB,265.527
b0061,araD,849.292
b0062,araA,157.245
b0063,araB,757.267
b0064,araC,285.48
b0065,yabI,511.56
b0066,yabJ,600.275
b0067,yabK,731.928
b0068,tbpA,1220.47
b0069,yabN,371.66
b0070,setA,1278.98
b0071,leuD,2697.74
b0072,leuC,3922.81
b0073,leuB,4377.77
b0074,leuA,3956.24
b0075,leuL,1641.06
b0076,leuO,130.859
b0077,ilvI,2225.63
b0078,ilvH,2697.66
b0079,fruL,1199.93
b0080,fruR,743.942
b0081,yabB,2813.31
b0082,yabC,1312.64
b0083,ftsL,1446.29
b0084,ftsI,1459.89
b0085,murE,1388.88
b0086,murF,1475.92
b0087,mraY,1222.52
b0088,murD,947.386
b0089,ftsW,1075.09
b0090,murG,824.73
b0091,murC,1016.19
b0092,ddlB,1679.35
b0093,ftsQ,1569.27
b0094,ftsA,3449.2
b0095,ftsZ,3177.63
b0096,lpxC,2916.24
b0097,yacA,1360.65
b0098,secA,1436.81
b0099,mutT,441.537
b0101,yacG,659.581
b0102,yacF,775.805
b0103,yacE,1193.96
b0104,guaC,2351.96
b0106,hofC,171.638
b0107,hofB,57.9395
b0108,ppdD,201.437
b0109,nadC,476.486
b0110,ampD,442.558
b0111,ampE,665.564
b0112,aroP,2488.35
b0113,pdhR,650.905
b0114,aceE,5633.12
b0115,aceF,4028.54
b0116,lpdA,4667.21
b0117,yacH,129.391
b0118,acnB,3099.57
b0119,yacL,1224.78
b0120,speD,2831.36
b0121,speE,2728.96
b0122,yacC,963.571
b0123,cueO,2136.47
b0124,gcd,785.746
b0125,hpt,1591.4
b0126,yadF,5210.87
b0127,yadG,1331.46
b0128,yadH,502.271
b0129,yadI,364.51
b0130,yadE,278.386
b0131,panD,2568.38
b0132,yadD,301.45
b0133,panC,990.495
b0134,panB,2303.57
b0135,yadC,112.273
b0136,yadK,69.1418
b0137,yadL,106.01
b0138,yadM,105.097
b0139,htrE,222.676
b0140,ecpD,45.2135
b0141,yadN,417.763
b0142,folK,702.112
b0143,pcnB,2807.29
b0144,yadB,247.799
b0145,dksA,2576.7
b0146,sfsA,2610.41
b0147,ligT,572.519
b0148,hrpB,873.325
b0149,mrcB,1028.44
b0150,fhuA,869.673
b0151,fhuC,1125.41
b0152,fhuD,607.131
b0153,fhuB,857.818
b0154,hemL,578.89
b0155,yadQ,807.912
b0156,yadR,1905.75
b0157,yadS,808.274
b0158,yadT,613.733
b0159,pfs,1045.02
b0160,dgt,233.307
b0161,degP,570.315
b0162,cdaR,333.076
b0163,yaeH,1972.34
b0164,yaeI,254.713
b0166,dapD,3394.6
b0167,glnD,1005.32
b0168,map,2018.52
b0169,rpsB,5584.52
b0170,tsf,5131.51
b0171,pyrH,3027.98
b0172,frr,2387.25
b0173,ispC,1064.97
b0174,uppS,1369.34
b0175,cdsA,684.717
b0176,yaeL,2612.52
b0177,yaeT,2773.08
b0178,hlpA,6006.5
b0179,lpxD,3189.16
b0180,fabZ,3217.18
b0181,lpxA,1869.15
b0182,lpxB,787.813
b0183,rnhB,1266.5
b0184,dnaE,2433.59
b0185,accA,2050.12
b0186,ldcC,673.195
b0187,yaeR,644.628
b0188,tilS,955.134
b0189,rof,910.004
b4406,yaeP,N.D.
b0190,yaeQ,1373.23
b0191,yaeJ,1556.58
b0192,cutF,1180.79
b0193,yaeF,491.758
b0194,proS,2236.46
b0195,yaeB,605.955
b0196,rcsF,1729.83
b0197,metQ,4705.18
b0198,metI,2228.71
b0199,metN,1613.98
b0200,gmhB,1463.48
b0207,dkgB,358.257
b0208,yafC,244.587
b0209,yafD,399.802
b0210,yafE,201.167
b0211,mltD,1442
b0212,gloB,494.686
b0213,yafS,482.118
b0214,rnhA,953.73
b0215,dnaQ,1003.54
b0217,yafT,86.1138
b0218,yafU,124.108
b0219,yafV,516.04
b0220,ykfE,2304.94
b0221,fadE,391.255
b0222,lpcA,1593.4
b0223,yafJ,1258.13
b0224,yafK,1731.44
b0225,yafQ,746.212
b0226,dinJ,1145.58
b0227,yafL,362.616
b0228,yafM,355.796
b0229,fhiA,167.352
b0230,mbhA,293.483
b0231,dinB,334.854
b0232,yafN,294.913
b0233,yafO,306.243
b0234,yafP,289.338
b0235,ykfJ,119.259
b0236,prfH,168.279
b0237,pepD,1496.1
b0238,gpt,1949.6
b0239,yafA,635.492
b0240,crl,3526.26
b0241,phoE,147.848
b0242,proB,1518.76
b0243,proA,2252.73
b0245,ykfI,94.6576
b0246,yafW,1038.97
b0247,ykfG,265.118
b0248,yafX,122.586
b0249,ykfF,523.561
b0250,ykfB,311.034
b0251,yafY,155.863
b0252,yafZ,136.266
b0253,ykfA,536.471
b0254,perR,373.389
b0255,yi91a,623.975
b0256,tra8_1,N.D.
b0258,ykfC,610.514
b0259,trs5_1,N.D.
b0260,mmuP,715.243
b0261,mmuM,966.292
b0262,afuC,508.642
b0263,afuB,380.633
b0264,insB_2,N.D.
b0265,insA_2,538.78
b0266,yagB,369.331
b0267,yagA,452.708
b0268,yagE,155.228
b0269,yagF,901.968
b0270,yagG,171.654
b0271,yagH,634.817
b0272,yagI,498.858
b0273,argF,2570.1
b0274,insB_3,N.D.
b0275,insA_3,N.D.
b0276,yagJ,218.126
b0277,yagK,120.766
b0278,yagL,113.194
b0279,yagM,74.7531
b0280,yagN,1533.69
b0281,intF,682.663
b0282,yagP,196.238
b0283,yagQ,249.824
b0284,yagR,289.675
b0285,yagS,728.924
b0286,yagT,374.555
b0287,yagU,1741.87
b0288,ykgJ,390.357
b0289,yagV,157.985
b0290,yagW,752.819
b0291,yagX,369.819
b0292,yagY,186.511
b0293,yagZ,168.524
b0294,ykgK,118.268
b0295,ykgL,73.1753
b0296,ykgM,109.534
b0297,eaeH,280.733
b0299,tra5_5,N.D.
b0300,ykgA,437.493
b0301,ykgB,295.81
b0303,ykgI,67.0368
b0304,ykgC,200.171
b0305,ykgD,179.535
b0306,ykgE,813.284
b0307,ykgF,293.41
b0308,ykgG,586.419
b0310,ykgH,120.002
b0311,betA,606.738
b0312,betB,798.456
b0313,betI,1876.25
b0314,betT,834.521
b0315,yahA,469.275
b0316,yahB,296.584
b0317,yahC,372.144
b0318,yahD,509.091
b0319,yahE,175.607
b0320,yahF,146.242
b0321,yahG,616.571
b0323,yahI,337.167
b0324,yahJ,440.876
b0325,yahK,1329.29
b0326,yahL,28.3424
b0327,yahM,53.9428
b0328,yahN,259.426
b0329,yahO,2281.86
b0330,prpR,359.634
b0331,prpB,349.336
b0333,prpC,407.617
b0334,prpD,62.5748
b0335,prpE,559.949
b0336,codB,3134.2
b0337,codA,3303.3
b0338,cynR,256.225
b0339,cynT,579.514
b0340,cynS,155.742
b0341,cynX,580.057
b0342,lacA,33.6891
b0343,lacY,83.6534
b0344,lacZ,689.295
b0345,lacI,364.893
b0346,mhpR,1224.49
b0347,mhpA,444.469
b0348,mhpB,379.567
b0349,mhpC,514.023
b0350,mhpD,242.034
b0351,mhpF,128.899
b0352,mhpE,636.116
b0353,mhpT,806.625
b0354,yaiL,1478.18
b0355,frmB,192.57
b0356,frmA,1443.93
b0357,frmR,1069.45
b0358,yaiO,92.443
b0360,yi21_1,865.653
b0361,yi22_1,1352.67
b0363,yaiP,55.4703
b0364,yaiS,340.97
b0365,tauA,256.886
b0366,tauB,221.787
b0367,tauC,331.986
b0368,tauD,189.998
b0369,hemB,1228.16
b0371,yaiT,194.47
b0372,tra5_1,360.958
b0374,yaiU,148.919
b0375,yaiV,98.3716
b0376,ampH,363.729
b0377,sbmA,342.918
b0378,yaiW,608.765
b0379,yaiY,319.57
b0380,yaiZ,255.722
b0381,ddlA,433.162
b0382,yaiB,1576.05
b0383,phoA,670.89
b0384,psiF,876.547
b0385,yaiC,177.187
b0386,proC,1358.72
b0387,yaiI,452.709
b0388,aroL,1617.77
b0389,yaiA,1204.71
b0390,aroM,387.11
b0391,yaiE,1909.18
b0392,ykiA,247.902
b0393,yaiD,1343.97
b0394,yajF,997.753
b0396,araJ,126.356
b0397,sbcC,774.302
b0398,sbcD,500.403
b0399,phoB,364.856
b0400,phoR,140.044
b0401,brnQ,459.379
b0402,proY,368.25
b0403,malZ,487.836
b0404,yajB,975.489
b0405,queA,739.214
b0406,tgt,2192.23
b0407,yajC,3184.51
b0408,secD,1456.32
b0409,secF,984.863
b0410,yajD,933.228
b0411,tsx,2553.62
b0412,yajI,111.023
b0413,ybaD,1783.63
b0414,ribD,1304.05
b0415,ribE,2657.96
b0416,nusB,2979.13
b0417,thiL,1629.55
b0418,pgpA,1014.14
b0419,yajO,2058.64
b0420,dxs,1040.92
b0421,ispA,1806.52
b0422,xseB,2594.33
b0423,thiI,1113.47
b0424,thiJ,1333.68
b0425,apbA,1252.72
b0426,yajQ,2507.27
b0427,yajR,325.115
b0428,cyoE,2139.97
b0429,cyoD,4447.52
b0430,cyoC,4282.65
b0431,cyoB,5031.92
b0432,cyoA,5931.77
b0433,ampG,420.505
b0434,yajG,2267.42
b0435,bolA,1936.58
b0436,tig,3277.28
b0437,clpP,2017.85
b0438,clpX,1935.03
b0439,lon,1854.17
b0440,hupB,3023.51
b0441,ppiD,1163.15
b0442,ybaV,1080.42
b0443,ybaW,290.465
b0444,ybaX,1287.92
b0445,ybaE,383.279
b0446,cof,729.685
b0447,ybaO,539.718
b0448,mdlA,146.392
