motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS10025|DUF917	24.19	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS06895|acylphosphatase	24.19	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS05230|3-hydroxyacyl-CoA	24.19	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS06180|translation	24.19	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS03215|MoaD/ThiS	24.19	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS02705|archease	22.94	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS07195|thiol	22.94	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS00795|aldehyde	22.94	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS04170|DUF47	22.94	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS06785|hypothetical	22.43	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS03000|50S	22.43	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS00205|CBS	22.43	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS00400|50S	22.43	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	gatE|Glu-tRNA(Gln)	22.34	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS06070|NAD(P)H-dependent	22.34	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS00300|DNA-binding	22.34	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS04285|ammonium	22.34	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS03390|formate--phosphoribosylaminoimidazolecarboxamide	22.34	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS02650|carbohydrate	22.34	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS10875|R2-like	22.27	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS03170|Lsm	22.27	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS01420|electron	22.27	tp	0
1-TAAAATATAT	STREME-1	3.1e-050	B6A19_RS03290|bifunctional	22.27	tp	0
